"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Full Configuration"
"6956.006341543659"," 1197.1446096658449","6941.965","6","20.600236074999998", " R='2.7', block-rst='true', ccmin-mode='0', cir-bump='0', cla-decay='0.5', cla-prep-lim='4800000', elim-clear-watch='true', gc-frac='1', lbd-core-th='4', luby='true', phase-saving='1', pol-act-init='true', pq-order='false', prob-limit='1671', prob-step-width='100', reduce-confl-limit='30000', reduce-frac='0.85', rfirst='100', rinc='1.5', rlevel='2', rnd-freq='0.01', rnd-init='false', size-lbd-queue='200', size-trail-queue='5000', var-decay='0.99'"
"7330.220427670959"," 1415.586008787132","7315.355","6","21.680196559", " R='2.7', block-rst='true', ccmin-mode='0', cir-bump='0', cla-decay='0.5', cla-prep-lim='4800000', elim-clear-watch='true', gc-frac='1', lbd-core-th='4', luby='true', phase-saving='1', pol-act-init='true', pq-order='false', prob-limit='1671', prob-step-width='100', reduce-confl-limit='30000', reduce-frac='0.85', rfirst='100', rinc='1.5', rlevel='2', rnd-freq='0.01', rnd-init='false', size-lbd-queue='200', size-trail-queue='5000', var-decay='0.99'"
"7763.056749245959"," 1308.8244250416208","7747.338","6","22.973882241", " R='2.7', block-rst='true', ccmin-mode='0', cir-bump='0', cla-decay='0.5', cla-prep-lim='4800000', elim-clear-watch='true', gc-frac='1', lbd-core-th='4', luby='true', phase-saving='1', pol-act-init='true', pq-order='false', prob-limit='1671', prob-step-width='100', reduce-confl-limit='30000', reduce-frac='0.85', rfirst='100', rinc='1.5', rlevel='2', rnd-freq='0.01', rnd-init='false', size-lbd-queue='200', size-trail-queue='5000', var-decay='0.99'"
"7880.513366753758"," 1209.4107867387115","7864.758","6","23.265244251", " R='2.7', block-rst='true', ccmin-mode='0', cir-bump='0', cla-decay='0.5', cla-prep-lim='4800000', elim-clear-watch='true', gc-frac='1', lbd-core-th='4', luby='true', phase-saving='1', pol-act-init='true', pq-order='false', prob-limit='1671', prob-step-width='100', reduce-confl-limit='30000', reduce-frac='0.85', rfirst='100', rinc='1.5', rlevel='2', rnd-freq='0.01', rnd-init='false', size-lbd-queue='200', size-trail-queue='5000', var-decay='0.99'"
"10122.823261655461"," 670.3516300641307","10103.435","12","28.59563553", " R='4.1', block-rst='true', ccmin-mode='0', cir-bump='12000', cla-decay='0.99', cla-prep-lim='4800000', elim-clear-watch='false', gc-frac='0.1', lbd-core-th='4', luby='true', phase-saving='1', pol-act-init='true', pq-order='true', prob-limit='350', prob-step-width='300', reduce-confl-limit='10000', reduce-frac='0.75', rfirst='100', rinc='2', rlevel='0', rnd-freq='0.01', rnd-init='true', size-lbd-queue='69', size-trail-queue='10000', var-decay='0.5'"
"10168.107136619163"," 625.6809329816","10148.746","12","28.917666180999998", " R='4.1', block-rst='true', ccmin-mode='0', cir-bump='12000', cla-decay='0.99', cla-prep-lim='4800000', elim-clear-watch='false', gc-frac='0.1', lbd-core-th='4', luby='true', phase-saving='1', pol-act-init='true', pq-order='true', prob-limit='350', prob-step-width='300', reduce-confl-limit='10000', reduce-frac='0.75', rfirst='100', rinc='2', rlevel='0', rnd-freq='0.01', rnd-init='true', size-lbd-queue='69', size-trail-queue='10000', var-decay='0.5'"
"10952.807735915263"," 823.9688707828267","10931.96","12","30.803669646", " R='4.1', block-rst='true', ccmin-mode='0', cir-bump='12000', cla-decay='0.99', cla-prep-lim='4800000', elim-clear-watch='false', gc-frac='0.1', lbd-core-th='4', luby='true', phase-saving='1', pol-act-init='true', pq-order='true', prob-limit='350', prob-step-width='300', reduce-confl-limit='10000', reduce-frac='0.75', rfirst='100', rinc='2', rlevel='0', rnd-freq='0.01', rnd-init='true', size-lbd-queue='69', size-trail-queue='10000', var-decay='0.5'"
"11288.291446965963"," 773.3086666762563","11266.883","12","31.797693153999997", " R='4.1', block-rst='true', ccmin-mode='0', cir-bump='12000', cla-decay='0.99', cla-prep-lim='4800000', elim-clear-watch='false', gc-frac='0.1', lbd-core-th='4', luby='true', phase-saving='1', pol-act-init='true', pq-order='true', prob-limit='350', prob-step-width='300', reduce-confl-limit='10000', reduce-frac='0.75', rfirst='100', rinc='2', rlevel='0', rnd-freq='0.01', rnd-init='true', size-lbd-queue='69', size-trail-queue='10000', var-decay='0.5'"
"13241.020049370161"," 939.5846274600058","13216.052","12","36.166476970000005", " R='4.1', block-rst='true', ccmin-mode='0', cir-bump='12000', cla-decay='0.99', cla-prep-lim='4800000', elim-clear-watch='false', gc-frac='0.1', lbd-core-th='4', luby='true', phase-saving='1', pol-act-init='true', pq-order='true', prob-limit='350', prob-step-width='300', reduce-confl-limit='10000', reduce-frac='0.75', rfirst='100', rinc='2', rlevel='0', rnd-freq='0.01', rnd-init='true', size-lbd-queue='69', size-trail-queue='10000', var-decay='0.5'"
"13989.925392967742"," 887.7862619293822","13963.336","12","38.458854855000006", " R='4.1', block-rst='true', ccmin-mode='0', cir-bump='12000', cla-decay='0.99', cla-prep-lim='4800000', elim-clear-watch='false', gc-frac='0.1', lbd-core-th='4', luby='true', phase-saving='1', pol-act-init='true', pq-order='true', prob-limit='350', prob-step-width='300', reduce-confl-limit='10000', reduce-frac='0.75', rfirst='100', rinc='2', rlevel='0', rnd-freq='0.01', rnd-init='true', size-lbd-queue='69', size-trail-queue='10000', var-decay='0.5'"
