"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Full Configuration"
"7516.164413692397"," 543.8174806435667","7505.418","10","20.754928911", " R='2.7', block-rst='false', cir-bump='0', cla-prep-lim='4800000', elim-clear-watch='false', lbd-core-th='10', pol-act-init='false', pq-order='true', prob-limit='1205', prob-step-width='600', reduce-confl-limit='15000', reduce-frac='0.5', size-lbd-queue='158', size-trail-queue='1000'"
"8937.710288697708"," 310.47857936222067","8925.501","14","24.118376632999997", " R='1.1', block-rst='false', cir-bump='12000', cla-prep-lim='-1', elim-clear-watch='false', lbd-core-th='5', pol-act-init='false', pq-order='true', prob-limit='259', prob-step-width='600', reduce-confl-limit='10000', reduce-frac='0.85', size-lbd-queue='58', size-trail-queue='5000'"
"9045.336029419708"," 297.7767100930194","9033.003","14","24.495410715", " R='1.1', block-rst='false', cir-bump='12000', cla-prep-lim='-1', elim-clear-watch='false', lbd-core-th='5', pol-act-init='false', pq-order='true', prob-limit='259', prob-step-width='600', reduce-confl-limit='10000', reduce-frac='0.85', size-lbd-queue='58', size-trail-queue='5000'"
"9607.549119195708"," 492.025138911077","9594.255","14","25.679521561999998", " R='1.1', block-rst='false', cir-bump='12000', cla-prep-lim='-1', elim-clear-watch='false', lbd-core-th='5', pol-act-init='false', pq-order='true', prob-limit='259', prob-step-width='600', reduce-confl-limit='10000', reduce-frac='0.85', size-lbd-queue='58', size-trail-queue='5000'"
"10003.60384166861"," 664.6904089715728","9989.71","14","26.730005285999997", " R='1.1', block-rst='false', cir-bump='12000', cla-prep-lim='-1', elim-clear-watch='false', lbd-core-th='5', pol-act-init='false', pq-order='true', prob-limit='259', prob-step-width='600', reduce-confl-limit='10000', reduce-frac='0.85', size-lbd-queue='58', size-trail-queue='5000'"
"10399.40909042401"," 819.1803874467531","10384.959","14","27.490417303999998", " R='1.1', block-rst='false', cir-bump='12000', cla-prep-lim='-1', elim-clear-watch='false', lbd-core-th='5', pol-act-init='false', pq-order='true', prob-limit='259', prob-step-width='600', reduce-confl-limit='10000', reduce-frac='0.85', size-lbd-queue='58', size-trail-queue='5000'"
"11212.65524480891"," 787.6926500797156","11196.991","14","29.288329648999998", " R='1.1', block-rst='false', cir-bump='12000', cla-prep-lim='-1', elim-clear-watch='false', lbd-core-th='5', pol-act-init='false', pq-order='true', prob-limit='259', prob-step-width='600', reduce-confl-limit='10000', reduce-frac='0.85', size-lbd-queue='58', size-trail-queue='5000'"
"12459.11918773801"," 751.1130874610957","12441.362","14","32.155270281", " R='1.1', block-rst='false', cir-bump='12000', cla-prep-lim='-1', elim-clear-watch='false', lbd-core-th='5', pol-act-init='false', pq-order='true', prob-limit='259', prob-step-width='600', reduce-confl-limit='10000', reduce-frac='0.85', size-lbd-queue='58', size-trail-queue='5000'"
"14267.353072545771"," 719.5704777132277","14247.154","14","36.371679779", " R='1.1', block-rst='false', cir-bump='12000', cla-prep-lim='-1', elim-clear-watch='false', lbd-core-th='5', pol-act-init='false', pq-order='true', prob-limit='259', prob-step-width='600', reduce-confl-limit='10000', reduce-frac='0.85', size-lbd-queue='58', size-trail-queue='5000'"
"14510.851239767573"," 690.9739689826874","14490.217","14","36.999521871", " R='1.1', block-rst='false', cir-bump='12000', cla-prep-lim='-1', elim-clear-watch='false', lbd-core-th='5', pol-act-init='false', pq-order='true', prob-limit='259', prob-step-width='600', reduce-confl-limit='10000', reduce-frac='0.85', size-lbd-queue='58', size-trail-queue='5000'"
